el1,el2,paper_doi,date
australia,australia,10.1007/978-1-4419-0312-9_1,2009
saudi arabia,australia,10.1007/978-1-4419-0312-9_2,2009
australia,australia,10.1007/978-1-4419-0312-9_2,2009
united states,china,10.1007/978-1-4419-0312-9_3,2009
united states,australia,10.1007/978-1-4419-0312-9_3,2009
china,australia,10.1007/978-1-4419-0312-9_3,2009
germany,germany,10.1007/978-1-4419-0312-9_4,2009
china,china,10.1007/978-1-4419-0312-9_5,2009
china,china,10.1007/978-1-4419-0312-9_6,2009
china,australia,10.1007/978-1-4419-0312-9_6,2009
australia,australia,10.1007/978-1-4419-0312-9_6,2009
spain,spain,10.1007/978-1-4419-0312-9_7,2009
china,china,10.1007/978-1-4419-0312-9_8,2009
malaysia,malaysia,10.1007/978-1-4419-0312-9_9,2009
china,china,10.1007/978-1-4419-0312-9_10,2009
china,china,10.1007/978-1-4419-0312-9_11,2009
china,china,10.1007/978-1-4419-0312-9_12,2009
china,australia,10.1007/978-1-4419-0312-9_12,2009
germany,germany,10.1007/978-1-4419-0312-9_13,2009
china,china,10.1007/978-1-4419-0312-9_14,2009
australia,australia,10.1007/978-1-4419-0312-9_15,2009
france,france,10.1007/978-1-4419-0312-9_16,2009
malaysia,malaysia,10.1007/978-1-4419-0312-9_17,2009
united states,united states,10.1007/978-1-4419-0312-9_18,2009
china,china,10.1007/978-1-4419-0312-9_20,2009
australia,australia,10.1007/978-1-4419-0312-9_21,2009
australia,china,10.1007/978-1-4419-0312-9_21,2009
china,china,10.1007/978-1-4419-0312-9_22,2009
china,china,10.1007/978-1-4419-0312-9_23,2009
china,china,10.1007/978-1-4419-0312-9_24,2009
germany,germany,10.1145/3481549.3481569,2021
germany,china,10.1145/3481549.3481569,2021
china,china,10.1145/3481549.3481569,2021
japan,japan,10.1145/3481549.3481553,2021
sweden,sweden,10.1145/3481549.3481557,2021
germany,germany,10.1145/3481549.3481563,2021
germany,germany,10.1145/3481549.3481568,2021
germany,germany,10.1145/3481549.3481570,2021
united states,united states,10.1145/3481549.3481562,2021
united states,switzerland,10.1145/3481549.3481562,2021
united kingdom,united kingdom,10.1145/3481549.3481560,2021
australia,australia,10.1145/3481549.3481556,2021
colombia,colombia,10.1145/3481549.3481554,2021
austria,austria,10.1145/3481549.3481558,2021
united states,united states,10.1145/3481549.3481564,2021
japan,australia,10.1145/3481549.3481555,2021
japan,japan,10.1145/3481549.3481555,2021
germany,germany,10.1145/3481549.3481566,2021
finland,denmark,10.1145/3481549.3481565,2021
finland,finland,10.1145/3481549.3481565,2021
switzerland,netherlands,10.1145/3481549.3481550,2021
netherlands,netherlands,10.1145/3481549.3481550,2021
ecuador,ecuador,10.1145/3481549.3481571,2021
germany,germany,10.1145/3481549.3481573,2021
ecuador,ecuador,10.1145/3481549.3481572,2021
germany,germany,10.1145/3481549.3481559,2021
united states,united states,10.1145/3481549.3481567,2021
china,china,10.1145/3481549.3481551,2021
china,china,10.1145/3481549.3481552,2021
switzerland,switzerland,10.1145/3481549.3481561,2021
germany,germany,10.1145/3430036.3430041,2020
germany,germany,10.1145/3430036.3430054,2020
netherlands,netherlands,10.1145/3430036.3430037,2020
