type,title,year,authors,citations,downloads,doi,publisher,venue,n_reference
research-article,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,2021,"['René Cutura', 'Cristina Morariu', 'Zhanglin Cheng', 'Yunhai Wang', 'Daniel Weiskopf', 'Michael Sedlmair']",1,110,10.1145/3481549.3481569,ACM,vinci,46
research-article,Scatterplot Selection Applying a Graph Coloring Algorithm,2021,"['Takayuki Itoh', 'Asuka Nakabayashi', 'Mariko Hagita']",0,21,10.1145/3481549.3481553,ACM,vinci,21
short-paper,Visual Analysis of Industrial Multivariate Time Series,2021,"['Maath Musleh', 'Angelos Chatzimparmpas', 'Ilir Jusufi']",0,70,10.1145/3481549.3481557,ACM,vinci,43
research-article,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",2021,"['Alexander Achberger', 'Frank Heyen', 'Kresimir Vidakovic', 'Michael Sedlmair']",0,69,10.1145/3481549.3481563,ACM,vinci,35
short-paper,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",2021,"['Martin Büßemeyer', 'Daniel Limberger', 'Willy Scheibel', 'Jürgen Döllner']",0,143,10.1145/3481549.3481568,ACM,vinci,23
short-paper,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,2021,"['Daniel Limberger', 'Willy Scheibel', 'Jan van Dieken', 'Jürgen Döllner']",0,67,10.1145/3481549.3481570,ACM,vinci,15
short-paper,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,2021,"['Ayush Kumar', 'Bharat Goel', 'Keshav Rajupet Premkumar', 'Michael Burch', 'Klaus D Mueller']",0,31,10.1145/3481549.3481562,ACM,vinci,16
research-article,An empirically-based spatial segmentation and coreference annotation scheme for comics,2021,"['Lauren Edlin', 'Joshua D Reiss']",0,24,10.1145/3481549.3481560,ACM,vinci,30
short-paper,RST as Narrative Structure for Node-Based Editors,2021,"['Cameron Edmond', 'Robert Lawther', 'Maxime Cordeil', 'Tomasz P Bednarz']",0,31,10.1145/3481549.3481556,ACM,vinci,31
short-paper,SPLORT: Evaluation of a Web-based Approach for Descriptive and Exploratory Analysis of Multivariate Spatio-temporal Data,2021,"['Miguel Alfonso Feijóo-García', 'José Tiberio Hernández-Peñalosa']",0,15,10.1145/3481549.3481554,ACM,vinci,19
short-paper,Design and Comparative Evaluation of Visualization Onboarding Methods,2021,"['Christina Stoiber', 'Conny Walchshofer', 'Florian Grassinger', 'Holger Stitz', 'Marc Streit', 'Wolfgang Aigner']",0,268,10.1145/3481549.3481558,ACM,vinci,50
research-article,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,2021,"['Akshay Murari', 'Elias Mahfoud', 'Weichao Wang', 'Aidong Lu']",0,75,10.1145/3481549.3481564,ACM,vinci,28
research-article,Visual Linking of Feature Values in Immersive Graph Visualization Environment,2021,"['Hinako Sassa', 'Maxime Cordeil', 'Mitsuo Yoshida', 'Takayuki Itoh']",0,59,10.1145/3481549.3481555,ACM,vinci,24
research-article,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs,2021,"['Oliver Moseler', 'Lucas Kreber', 'Stephan Diehl']",1,57,10.1145/3481549.3481566,ACM,vinci,27
research-article,Interactive Visual Facets to Support Fluid Exploratory Search,2021,"['Chen He', 'Luana Micallef', 'Barış Serim', 'Tung Vuong', 'Tuukka Ruotsalo', 'Giulio Iacucci']",0,48,10.1145/3481549.3481565,ACM,vinci,47
short-paper,Visual Analysis of Graph Algorithm Dynamics,2021,"['Michael Burch', 'Günter Wallner', 'Huub M M van de Wetering', 'Freek Rooks', 'Olof Morra']",0,32,10.1145/3481549.3481550,ACM,vinci,28
