pais1,pais2,paper_doi,date
Germany,Germany,10.1145/3481549.3481569,2021
Germany,China,10.1145/3481549.3481569,2021
China,China,10.1145/3481549.3481569,2021
Japan,Japan,10.1145/3481549.3481553,2021
Sweden,Sweden,10.1145/3481549.3481557,2021
Germany,Germany,10.1145/3481549.3481563,2021
Germany,Germany,10.1145/3481549.3481568,2021
Germany,Germany,10.1145/3481549.3481570,2021
United States,United States,10.1145/3481549.3481562,2021
United States,Switzerland,10.1145/3481549.3481562,2021
Switzerland,Switzerland,10.1145/3481549.3481562,2021
United Kingdom,United Kingdom,10.1145/3481549.3481560,2021
Australia,Australia,10.1145/3481549.3481556,2021
Australia,France,10.1145/3481549.3481556,2021
France,France,10.1145/3481549.3481556,2021
Colombia,Colombia,10.1145/3481549.3481554,2021
Austria,Austria,10.1145/3481549.3481558,2021
United States,United States,10.1145/3481549.3481564,2021
Japan,Japan,10.1145/3481549.3481555,2021
Japan,Australia,10.1145/3481549.3481555,2021
Australia,Australia,10.1145/3481549.3481555,2021
Germany,Germany,10.1145/3481549.3481566,2021
Finland,Finland,10.1145/3481549.3481565,2021
Finland,Denmark,10.1145/3481549.3481565,2021
Denmark,Denmark,10.1145/3481549.3481565,2021
Switzerland,Switzerland,10.1145/3481549.3481550,2021
Switzerland,Austria,10.1145/3481549.3481550,2021
Switzerland,Netherlands,10.1145/3481549.3481550,2021
Austria,Austria,10.1145/3481549.3481550,2021
Austria,Netherlands,10.1145/3481549.3481550,2021
Netherlands,Netherlands,10.1145/3481549.3481550,2021
Ecuador,Ecuador,10.1145/3481549.3481571,2021
Germany,Germany,10.1145/3481549.3481573,2021
Ecuador,Ecuador,10.1145/3481549.3481572,2021
Germany,Germany,10.1145/3481549.3481559,2021
United States,United States,10.1145/3481549.3481567,2021
China,China,10.1145/3481549.3481551,2021
China,China,10.1145/3481549.3481552,2021
Switzerland,Switzerland,10.1145/3481549.3481561,2021
Germany,Germany,10.1145/3430036.3430041,2020
Germany,Germany,10.1145/3430036.3430054,2020
Switzerland,Switzerland,10.1145/3430036.3430037,2020
Switzerland,Netherlands,10.1145/3430036.3430037,2020
Netherlands,Netherlands,10.1145/3430036.3430037,2020
China,China,10.1145/3356422.3356433,2019
China,China,10.1145/3356422.3356440,2019
South Korea,South Korea,10.1145/3356422.3356439,2019
India,India,10.1145/3231622.3231624,2018
India,France,10.1145/3231622.3231624,2018
France,France,10.1145/3231622.3231624,2018
Australia,Australia,10.1145/3231622.3231626,2018
Australia,France,10.1145/3231622.3231626,2018
France,France,10.1145/3231622.3231626,2018
China,China,10.1145/3231622.3231627,2018
United States,United States,10.1145/3231622.3231628,2018
United States,Germany,10.1145/3231622.3231628,2018
Germany,Germany,10.1145/3231622.3231628,2018
Switzerland,Switzerland,10.1145/3231622.3231635,2018
Switzerland,Germany,10.1145/3231622.3231635,2018
Germany,Germany,10.1145/3231622.3231635,2018
United States,United States,10.1145/3231622.3231637,2018
United States,China,10.1145/3231622.3231637,2018
China,China,10.1145/3231622.3231637,2018
Germany,Germany,10.1145/3231622.3231638,2018
Israel,Israel,10.1145/3231622.3231623,2018
Germany,Germany,10.1145/3231622.3231639,2018
Germany,Australia,10.1145/3231622.3231639,2018
Germany,United Kingdom,10.1145/3231622.3231639,2018
Australia,Australia,10.1145/3231622.3231639,2018
Australia,United Kingdom,10.1145/3231622.3231639,2018
United Kingdom,United Kingdom,10.1145/3231622.3231639,2018
Switzerland,Switzerland,10.1145/3231622.3231630,2018
Italy,Italy,10.1145/3231622.3231632,2018
Switzerland,Switzerland,10.1145/3231622.3231633,2018
Switzerland,Germany,10.1145/3231622.3231633,2018
Germany,Germany,10.1145/3231622.3231633,2018
Sweden,Sweden,10.1145/3231622.3231625,2018
Sweden,Sweden,10.1145/3231622.3231641,2018
Sweden,Sweden,10.1145/3231622.3232505,2018
Sweden,Germany,10.1145/3231622.3232505,2018
Germany,Germany,10.1145/3231622.3232505,2018
Sweden,Sweden,10.1145/3231622.3232508,2018
Sweden,Sweden,10.1145/3231622.3232506,2018
Japan,Japan,10.1145/3231622.3232504,2018
China,China,10.1145/3231622.3231634,2018
Sweden,Sweden,10.1145/3231622.3231636,2018
Switzerland,Switzerland,10.1145/3231622.3231629,2018
Austria,Austria,10.1145/3231622.3231640,2018
Austria,Germany,10.1145/3231622.3231640,2018
Germany,Germany,10.1145/3231622.3231640,2018
South Korea,South Korea,10.1145/3231622.3232507,2018
Germany,Germany,10.1145/3105971.3105972,2017
Germany,Austria,10.1145/3105971.3105972,2017
Austria,Austria,10.1145/3105971.3105972,2017
China,China,10.1145/3105971.3105980,2017
China,China,10.1145/3105971.3105983,2017
China,China,10.1145/3105971.3105986,2017
South Korea,South Korea,10.1145/3105971.3105975,2017
Germany,Germany,10.1145/3105971.3105982,2017
Germany,Switzerland,10.1145/3105971.3105982,2017
Switzerland,Switzerland,10.1145/3105971.3105982,2017
Finland,Finland,10.1145/3105971.3105981,2017
Finland,Denmark,10.1145/3105971.3105981,2017
Denmark,Denmark,10.1145/3105971.3105981,2017
Austria,Austria,10.1145/3105971.3105984,2017
Japan,Japan,10.1145/3105971.3105987,2017
United States,United States,10.1145/3105971.3105990,2017
China,China,10.1145/3105971.3108443,2017
Canada,Canada,10.1145/3105971.3108447,2017
Canada,Thailand,10.1145/3105971.3108447,2017
Thailand,Thailand,10.1145/3105971.3108447,2017
Macao,Macao,10.1145/3105971.3108450,2017
United States,United States,10.1145/3105971.3108444,2017
United States,China,10.1145/3105971.3108444,2017
China,China,10.1145/3105971.3108444,2017
China,China,10.1145/3105971.3108442,2017
South Korea,South Korea,10.1145/3105971.3108445,2017
Thailand,Thailand,10.1145/3105971.3108446,2017
Thailand,United States,10.1145/3105971.3108446,2017
United States,United States,10.1145/3105971.3108446,2017
Canada,Canada,10.1145/3105971.3108448,2017
Canada,Thailand,10.1145/3105971.3108448,2017
Thailand,Thailand,10.1145/3105971.3108448,2017
China,China,10.1145/3105971.3105992,2017
Thailand,Thailand,10.1145/3105971.3108449,2017
Finland,Finland,10.1145/3105971.3105977,2017
Finland,Italy,10.1145/3105971.3105977,2017
Italy,Italy,10.1145/3105971.3105977,2017
China,China,10.1145/3105971.3105974,2017
China,United States,10.1145/3105971.3105974,2017
United States,United States,10.1145/3105971.3105974,2017
Switzerland,Switzerland,10.1145/3105971.3105973,2017
Switzerland,Switzerland,10.1145/3105971.3105989,2017
Switzerland,Germany,10.1145/3105971.3105989,2017
Germany,Germany,10.1145/3105971.3105989,2017
Macao,Macao,10.1145/3105971.3105976,2017
Macao,Australia,10.1145/3105971.3105976,2017
Australia,Australia,10.1145/3105971.3105976,2017
United Kingdom,United Kingdom,10.1145/3105971.3105978,2017
Austria,Austria,10.1145/3105971.3105979,2017
Austria,Germany,10.1145/3105971.3105979,2017
Germany,Germany,10.1145/3105971.3105979,2017
